ID,Feature_0,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,Feature_15,Feature_16,Feature_17,Feature_18,Feature_19,Feature_20,Feature_21,Feature_22,Feature_23,Feature_24,Feature_25,Feature_26,Feature_27,Feature_28,Feature_29,Feature_30,Feature_31,Feature_32,Feature_33,Feature_34,Feature_35,Feature_36,Feature_37,Feature_38,Feature_39,Feature_40,Feature_41,Feature_42,Feature_43,Feature_44,Feature_45,Feature_46,Feature_47,Feature_48,Feature_49,Feature_50,Feature_51,Feature_52,Feature_53
instances/sat/data/maxcut/bipartite/maxcut-140-630-0.8-8.wcnf,140.000000000,1258.000000000,0.000000000,0.000000000,-512.000000000,-512.000000000,0.000000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,-512.000000000,-512.000000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000 
instances/sat/data/maxcut/bipartite/maxcut-140-630-0.8-10.wcnf,140.000000000,1258.000000000,140.000000000,1245.000000000,0.000000000,0.010441767,0.000000000,0.112449799,0.670147256,0.497375999,0.333333333,1.000000000,0.693092664,0.021353987,0.034001702,0.014285714,0.021428571,0.058021791,0.000000000,0.010441767,1.000000000,0.000000000,0.021353987,3.891316896,0.005622490,1.000000000,2.558819369,0.013003536,0.086046355,0.000000000,1.000000000,0.502296912,0.010602410,3.877587071,0.002409639,0.494779116,2.292440098,0.494779116,0.008663224,1.032122977,0.003212851,0.111646586,0.000000000,0.014456541,0.195965313,0.002409639,0.022489960,2.664780228,0.109604428,0.236546493,0.068965517,0.500000000,2.077188945,0.000000000 
instances/sat/data/maxcut/bipartite/maxcut-140-630-0.7-29.wcnf,140.000000000,1260.000000000,140.000000000,1250.000000000,0.000000000,0.008000000,0.000000000,0.112000000,0.669333333,0.497992032,0.333333333,1.000000000,0.693115180,0.021371429,0.029774141,0.014285714,0.021428571,0.046594424,0.000000000,0.008000000,1.000000000,0.000000000,0.021371429,3.887777401,0.006400000,1.000000000,2.420672100,0.011596395,0.085517788,0.000000000,1.000000000,0.410424422,0.010628571,3.877260417,0.003200000,0.496000000,2.217603912,0.496000000,0.008674286,1.024698422,0.004000000,0.111200000,0.000000000,0.014420480,0.179382242,0.004000000,0.021600000,2.567700739,0.108798754,0.214916302,0.071428571,0.333333333,1.970092845,0.000000000 
instances/sat/data/maxcut/bipartite/maxcut-140-630-0.7-16.wcnf,140.000000000,1260.000000000,140.000000000,1251.000000000,0.000000000,0.007194245,0.000000000,0.111910472,0.669064748,0.498194992,0.333333333,1.000000000,0.693121302,0.021377184,0.028238798,0.014285714,0.021428571,0.042668116,0.000000000,0.007194245,1.000000000,0.000000000,0.021377184,3.887554144,0.005595524,1.000000000,2.477442581,0.011384524,0.085760868,0.000000000,1.000000000,0.388345210,0.010637205,3.878112877,0.002398082,0.496402878,2.294486711,0.496402878,0.008678771,1.028152877,0.003197442,0.111111111,0.000000000,0.014642802,0.208971663,0.002398082,0.023980815,2.716854264,0.107974033,0.233450907,0.064516129,0.500000000,2.119797472,0.000000000 
instances/sat/data/maxcut/bipartite/maxcut-140-630-0.7-18.wcnf,140.000000000,1260.000000000,140.000000000,1253.000000000,0.000000000,0.005586592,0.000000000,0.111731844,0.668528864,0.498599462,0.333333333,1.000000000,0.693131575,0.021388667,0.024891164,0.014285714,0.021428571,0.034550767,0.000000000,0.005586592,1.000000000,0.000000000,0.021388667,3.884872378,0.006384677,1.000000000,2.434670903,0.009714765,0.084766460,0.000000000,1.000000000,0.304413958,0.010654429,3.877495627,0.003192338,0.497206704,2.266293423,0.497206704,0.008687721,1.021892677,0.003990423,0.110933759,0.000000000,0.014529853,0.192755806,0.005586592,0.023144453,2.657096264,0.107854518,0.196238884,0.066666667,0.250000000,2.065555930,0.010000000 
instances/sat/data/maxcut/bipartite/maxcut-140-630-0.8-4.wcnf,140.000000000,1258.000000000,140.000000000,1251.000000000,0.000000000,0.005595524,0.000000000,0.111910472,0.668531841,0.498597216,0.333333333,1.000000000,0.693131526,0.021388603,0.024911016,0.014285714,0.021428571,0.034597040,0.000000000,0.005595524,1.000000000,0.000000000,0.021388603,3.885174281,0.006394884,1.000000000,2.453149368,0.010156522,0.085033827,0.000000000,1.000000000,0.298249342,0.010654334,3.877839722,0.003197442,0.497202238,2.287994822,0.497202238,0.008690191,1.025227400,0.003996803,0.111111111,0.000000000,0.014600630,0.208040604,0.003996803,0.023181455,2.722460371,0.108335565,0.223175331,0.066666667,0.333333333,2.140966291,0.010000000 
instances/sat/data/maxcut/bipartite/maxcut-140-630-0.7-31.wcnf,140.000000000,1260.000000000,140.000000000,1253.000000000,0.000000000,0.005586592,0.000000000,0.111731844,0.668528864,0.498599462,0.333333333,1.000000000,0.693131575,0.021388667,0.024891164,0.014285714,0.021428571,0.034550767,0.000000000,0.005586592,1.000000000,0.000000000,0.021388667,3.885205153,0.006384677,1.000000000,2.425747475,0.010432286,0.085396793,0.000000000,1.000000000,0.318053548,0.010654429,3.877857375,0.003192338,0.497206704,2.304213691,0.497206704,0.008687721,1.023955124,0.003990423,0.110933759,0.000000000,0.014612655,0.201727100,0.003192338,0.024740623,2.705031677,0.107841786,0.227196709,0.062500000,0.400000000,2.101248672,0.010000000 
instances/sat/data/maxcut/bipartite/maxcut-140-630-0.7-48.wcnf,140.000000000,1260.000000000,0.000000000,0.000000000,-512.000000000,-512.000000000,0.000000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,-512.000000000,-512.000000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000 
instances/sat/data/maxcut/bipartite/maxcut-140-630-0.7-8.wcnf,140.000000000,1260.000000000,140.000000000,1249.000000000,0.000000000,0.008807046,0.000000000,0.112089672,0.669602349,0.497788585,0.333333333,1.000000000,0.693108398,0.021365664,0.031235596,0.014285714,0.021428571,0.050444879,0.000000000,0.008807046,1.000000000,0.000000000,0.021365664,3.889077643,0.006405124,1.000000000,2.487218449,0.011472018,0.085245699,0.000000000,1.000000000,0.408412131,0.010619925,3.877459568,0.003202562,0.495596477,2.252222141,0.495596477,0.008669793,1.027217480,0.004003203,0.111289031,0.000000000,0.014465375,0.186114466,0.004003203,0.022417934,2.617897412,0.108632838,0.207392569,0.068965517,0.333333333,2.025576569,0.000000000 
instances/sat/data/maxcut/bipartite/maxcut-140-630-0.8-15.wcnf,140.000000000,1258.000000000,0.000000000,0.000000000,-512.000000000,-512.000000000,0.000000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,-512.000000000,-512.000000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000 
